image_id,healthy,multiple_diseases,rust,scab
Test_0,0.024999750219285487,0.04536674432456493,0.9118343353271484,0.01779917310923338
Test_1,0.008738119900226594,0.027944158762693405,0.9498274683952331,0.013490252196788788
Test_2,0.010957167856395245,0.00933877369388938,0.010411442257463932,0.9692926168441772
Test_3,0.9773382067680358,0.00812172032892704,0.0064519975334405896,0.008088072948157787
Test_4,0.015991811640560627,0.030332769826054574,0.9341062903404236,0.019569146260619164
Test_5,0.8675639986991882,0.05493593141436577,0.05230400115251541,0.025196055136620998
Test_6,0.973978054523468,0.006942429859191179,0.014120043069124222,0.004959493409842253
Test_7,0.02072708811610937,0.07679657489061356,0.03245536834001541,0.8700209856033325
Test_8,0.01620715744793415,0.44269599914550783,0.1049015462398529,0.43619526624679567
Test_9,0.020852929912507534,0.06161137223243714,0.8952814340591431,0.022254236042499542
Test_10,0.03704272583127022,0.09876851141452789,0.8281510233879089,0.03603779338300228
Test_11,0.9644851922988892,0.009380446467548608,0.021959203854203226,0.004175191186368466
Test_12,0.14932634830474853,0.0766309604048729,0.022187357395887376,0.7518553256988525
Test_13,0.9517542481422424,0.021937735378742218,0.016267845034599306,0.010040194168686867
Test_14,0.035174835845828055,0.04259749501943588,0.8946555137634278,0.027572141587734224
Test_15,0.030061038583517073,0.029891714453697205,0.9205071091651916,0.019540208764374255
Test_16,0.976865577697754,0.007384636392816901,0.00872747516259551,0.007022320386022329
Test_17,0.025368390791118144,0.03174308985471726,0.033184136264026165,0.9097043871879578
Test_18,0.08742623701691628,0.045545635372400285,0.026025202870368958,0.8410029411315918
Test_19,0.009102021250873804,0.0356978215277195,0.9352409958839416,0.01995919719338417
Test_20,0.009001016104593872,0.019380823150277136,0.010460154619067907,0.96115802526474
Test_21,0.94977947473526,0.011912580113857985,0.015017288923263549,0.02329067811369896
Test_22,0.03849404454231262,0.05188575983047485,0.8838210463523865,0.025799159333109854
Test_23,0.016438202746212483,0.02126717399805784,0.021615445241332056,0.9406791687011719
Test_24,0.8508921146392823,0.07721827179193497,0.027106563746929168,0.04478308111429215
Test_25,0.023937835358083248,0.023686889559030533,0.0076365434564650055,0.9447387456893921
Test_26,0.0342728890478611,0.12960882261395454,0.03038196749985218,0.8057363390922546
Test_27,0.09657015800476074,0.047424827516078946,0.8224732041358948,0.0335317712277174
Test_28,0.9472760677337646,0.02174658477306366,0.013734615966677665,0.017242755740880966
Test_29,0.06989220418035984,0.5093055188655853,0.22302738428115845,0.19777488708496094
Test_30,0.8940660834312439,0.03370579108595848,0.025152206793427466,0.04707593135535717
Test_31,0.02784547545015812,0.20893654227256775,0.7031034588813782,0.06011455208063125
Test_32,0.032891893200576304,0.33155234456062316,0.31287889182567596,0.32267688810825346
Test_33,0.0076473293825984005,0.007650894112884998,0.009761069063097238,0.9749406933784485
Test_34,0.021087467856705188,0.028144538402557373,0.013556449115276337,0.937211537361145
Test_35,0.021333936229348184,0.022566589713096618,0.014211289770901202,0.941888177394867
Test_36,0.025698009878396988,0.033513648062944414,0.9214510202407837,0.01933734156191349
Test_37,0.10702117830514908,0.0393532857298851,0.01462357323616743,0.8390019774436951
Test_38,0.027511675655841828,0.025308674201369286,0.009113727696239948,0.9380659222602844
Test_39,0.018286803737282753,0.02678682804107666,0.925223445892334,0.029702916368842126
Test_40,0.008905277960002423,0.01578435804694891,0.9696981906890869,0.005612126272171736
Test_41,0.05201692059636116,0.049430561065673825,0.8809730052947998,0.017579475417733192
Test_42,0.04151265509426594,0.03355416208505631,0.019487040862441064,0.9054461240768432
Test_43,0.11819635778665542,0.18841930031776427,0.6486804842948913,0.04470386058092117
Test_44,0.0298180028796196,0.4143680095672607,0.1641948826611042,0.3916190892457962
Test_45,0.09314572066068649,0.3955669939517975,0.08904750496149064,0.42223977446556094
Test_46,0.4735666334629059,0.24226555228233337,0.028597893565893172,0.25556989908218386
Test_47,0.016625589318573476,0.03250519447028637,0.935286021232605,0.015583150647580623
Test_48,0.0158643813803792,0.04550875499844551,0.9185595750808716,0.02006728295236826
Test_49,0.013515648618340492,0.011697783321142196,0.9628244400024414,0.01196216456592083
Test_50,0.016142814978957178,0.03611069694161415,0.9183561086654664,0.029390402138233185
Test_51,0.01653156876564026,0.0749408658593893,0.8937889695167541,0.01473861038684845
Test_52,0.010238944739103317,0.025716882199048996,0.956794011592865,0.007250112574547529
Test_53,0.0233881589025259,0.021356892958283424,0.9371970891952515,0.01805788278579712
Test_54,0.2527716070413589,0.37289812564849856,0.1660854771733284,0.20824480354785918
Test_55,0.024408158287405966,0.039663823693990706,0.02916513681411743,0.9067628860473633
Test_56,0.023363488353788854,0.0854032203555107,0.022694367915391922,0.8685389518737793
Test_57,0.6805161088705063,0.04863499775528908,0.20591903626918792,0.06492986679077148
Test_58,0.014329815004020929,0.017232592217624187,0.017570621520280837,0.950866985321045
Test_59,0.07136127576231957,0.223263418674469,0.5531320691108703,0.15224323719739913
Test_60,0.005055160354822874,0.03215748518705368,0.010731757432222367,0.9520556211471558
Test_61,0.958345365524292,0.016388334706425665,0.015464553609490395,0.009801698103547096
Test_62,0.020102361030876637,0.5182073473930359,0.08330729380249977,0.3783830225467682
Test_63,0.04442205503582954,0.06173273324966431,0.03183944821357727,0.8620057463645935
Test_64,0.48922919631004336,0.11053481101989746,0.09154368340969085,0.30869234502315523
Test_65,0.043300554156303406,0.07040317580103875,0.866791832447052,0.0195044482126832
Test_66,0.9858434319496154,0.003947938047349453,0.0065493274480104445,0.003659321088343859
Test_67,0.011358431447297335,0.01533931102603674,0.9562536716461182,0.017048582993447782
Test_68,0.00744665963575244,0.260297691822052,0.05668274648487568,0.6755729079246521
Test_69,0.011965767294168473,0.024958748370409012,0.9524234771728516,0.010652016103267669
Test_70,0.01258292207494378,0.12580782622098924,0.06316821202635765,0.7984410285949707
Test_71,0.0633778527379036,0.07526572048664093,0.8381912350654602,0.023165208473801612
Test_72,0.018572745099663734,0.01630175895988941,0.011818098090589046,0.9533073782920838
Test_73,0.9372794270515442,0.027034257352352143,0.01903479341417551,0.01665147505700588
Test_74,0.854671573638916,0.05312786176800728,0.022384479641914368,0.06981606557965278
Test_75,0.11518793478608132,0.15477876216173173,0.21305091977119445,0.5169823646545411
Test_76,0.9658949732780456,0.008800017181783915,0.009343119245022536,0.01596183516085148
Test_77,0.01120766270905733,0.01969239581376314,0.9569701313972473,0.012129803281277418
Test_78,0.030861312337219716,0.11484028026461601,0.06939124017953872,0.7849071741104126
Test_79,0.038535768538713454,0.0673719435930252,0.03424155786633491,0.8598507523536683
Test_80,0.01675528511404991,0.36305166482925416,0.2614756762981415,0.3587174117565155
Test_81,0.01105586402118206,0.09929070919752121,0.8587063908576965,0.03094698041677475
